date,views
2013-06-26,4514
2013-06-27,4721
2013-06-28,5044
2013-06-29,5066
2013-06-30,4796
2013-07-01,5099
2013-07-02,4981
2013-07-03,5354
2013-07-04,5303
2013-07-05,5686
2013-07-06,5851
2013-07-07,5721
2013-07-08,5539
2013-07-09,5561
2013-07-10,5706
2013-07-11,5708
2013-07-12,5195
2013-07-13,4718
2013-07-14,4581
2013-07-15,4528
2013-07-16,4591
2013-07-17,4509
2013-07-18,4458
2013-07-19,4743
2013-07-20,4732
2013-07-21,4759
2013-07-22,4656
2013-07-23,4664
2013-07-24,4542
2013-07-25,4896
2013-07-26,4610
2013-07-27,4640
2013-07-28,4377
2013-07-29,4974
2013-07-30,4924
2013-07-31,5133
2013-08-01,4896
2013-08-02,5133
2013-08-03,4851
2013-08-04,4977
2013-08-05,5043
2013-08-06,5230
2013-08-07,5278
2013-08-08,5039
2013-08-09,5025
2013-08-10,5158
2013-08-11,5028
2013-08-12,4932
2013-08-13,4887
2013-08-14,5078
2013-08-15,5072
2013-08-16,5127
2013-08-17,5203
2013-08-18,4930
2013-08-19,5005
2013-08-20,5005
2013-08-21,4430
2013-08-22,4837
2013-08-23,5025
2013-08-24,5002
2013-08-25,4947
2013-08-26,4616
2013-08-27,4666
2013-08-28,4907
2013-08-29,5351
2013-08-30,5457
2013-08-31,6594
2013-09-01,6467
2013-09-02,6193
2013-09-03,6257
2013-09-04,6678
2013-09-05,6791
2013-09-06,7347
2013-09-07,8392
2013-09-08,8167
2013-09-09,7440
2013-09-10,7957
2013-09-11,8016
2013-09-12,8494
2013-09-13,9060
2013-09-14,10261
2013-09-15,10405
2013-09-16,9101
2013-09-17,9533
2013-09-18,9484
2013-09-19,9638
2013-09-20,9825
2013-09-21,11426
2013-09-22,11248
2013-09-23,10245
2013-09-24,11308
2013-09-25,11593
2013-09-26,11061
2013-09-27,11185
2013-09-28,12379
2013-09-29,12798
2013-09-30,11262
2013-10-01,11957
2013-10-02,12425
2013-10-03,14034
2013-10-04,13166
2013-10-05,14248
2013-10-06,15031
2013-10-07,13667
